,tt,s,l,w,p,diff,qcount,qcumsum
623,9,0.93930983543395996,0.117855,0,0,0.0,0,284
25835,9,14.570091962814331,0.135322,2,0,0.0,0,11657
29333,9,16.368602991104126,0.18427399999999999,1,0,0.0,0,13251
73282,9,37.176043033599854,0.066320000000000004,0,0,0.0,0,33014
74894,9,37.928038835525513,0.072799000000000003,1,0,0.0,0,33741
80399,9,40.474043846130371,0.21704399999999999,2,0,0.0,0,36144
113054,9,55.800463914871216,0.31192399999999998,0,0,0.0,0,50743
116784,9,57.473143815994263,0.24224599999999999,2,0,0.0,0,52448
117562,9,57.837728023529053,0.24660000000000001,0,0,0.0,0,52808
118690,9,58.394536972045898,0.259245,1,0,0.0,0,53308
147367,9,71.78516697883606,0.39880300000000002,1,0,0.0,0,66227
151503,9,73.682387828826904,0.30965199999999998,0,0,0.0,0,68119
154378,9,75.030874013900757,0.28007799999999999,2,0,0.0,0,69407
203874,9,97.988798856735229,0.080163999999999999,0,0,0.0,0,91697
225120,9,107.74396300315857,0.087714,2,0,0.0,0,101229
238712,9,114.24434494972229,0.087718000000000004,1,0,0.0,0,107374
309645,9,149.83882284164429,0.10308100000000001,2,0,0.0,0,139157
378686,9,183.57780694961548,0.111584,0,0,0.0,0,170297
554148,9,273.10442590713501,0.13821600000000001,2,0,0.0,0,249002
585223,9,288.65500688552856,0.13200300000000001,1,0,0.0,0,262968
593730,9,292.61302995681763,0.12798499999999999,2,0,0.0,0,266787
685098,9,338.84820294380188,0.27764800000000001,2,0,0.0,0,307660
817623,9,406.2514328956604,0.17808499999999999,0,0,0.0,0,367458
843060,9,418.91925883293152,0.20863100000000001,0,0,0.0,0,378903
916790,9,461.841148853302,1.010316,1,0,0.0,0,411967
931238,9,471.26228594779968,1.03332,2,0,0.0,0,418475
982509,9,499.10141491889954,0.21147099999999999,0,0,0.0,0,441482
1220591,9,642.70895481109619,0.27006599999999997,1,0,0.0,0,549096
1231285,9,648.12269186973572,0.23158699999999999,0,0,0.0,0,553824
1232092,9,648.50866603851318,0.21812899999999999,0,0,0.0,0,554175
1244880,9,655.26453304290771,0.22147500000000001,0,0,0.0,0,559970
1456352,9,809.58114194869995,0.26254,2,0,0.0,0,655120
1460260,9,812.42164301872253,0.33426699999999998,1,0,0.0,0,656915
1592896,9,947.09063601493835,0.25723499999999999,0,0,0.0,0,716766
1771129,9,1071.6979899406433,2.2541350000000002,1,0,0.0,0,796713
1818121,9,1106.1127150058746,1.869929,0,0,0.0,0,817811
2130838,9,1343.2273898124695,0.33518900000000001,0,0,0.0,0,958595
2152831,9,1357.281662940979,0.37501899999999999,0,0,0.0,0,968458
2259156,9,1441.4547598361969,2.463886,1,0,0.0,0,1016213
2271216,9,1450.1474499702454,2.4704839999999999,1,0,0.0,0,1021635
2437164,9,1573.9966158866882,2.5280399999999998,0,0,0.0,0,1096394
2525562,9,1630.54176902771,0.40733999999999998,0,0,0.0,0,1136461
2602764,9,1700.7995870113373,2.7287180000000002,2,0,0.0,0,1171177
